Movie Name from parseMovieInfo,Movie Duration,Movie Genres
1. The Shawshank Redemption,2h 22m,Drama
11. Dune: Part Two,2h 46m,"Action,Adventure,Drama"
9. The Lord of the Rings: The Fellowship of the Ring,2h 58m,"Action,Adventure,Drama"
8. Pulp Fiction,2h 34m,"Crime,Drama"
14. Fight Club,2h 19m,Drama
"10. Il Buono, Il Brutto, Il Cattivo",2h 41m,"Adventure,Western"
13. The Lord of the Rings: The Two Towers,2h 59m,"Action,Adventure,Drama"
12. Forrest Gump,2h 22m,"Drama,Romance"
5. 12 Angry Men,1h 36m,"Crime,Drama"
7. The Lord of the Rings: The Return of the King,3h 21m,"Action,Adventure,Drama"
2. The Godfather,2h 55m,"Crime,Drama"
6. Schindler's List,3h 15m,"Biography,Drama,History"
3. The Dark Knight,2h 32m,"Action,Crime,Drama"
4. The Godfather: Part II,3h 22m,"Crime,Drama"
15. Inception,2h 28m,"Action,Adventure,Sci-Fi"
16. Star Wars: Episode V - The Empire Strikes Back,2h 4m,"Action,Adventure,Fantasy"
250. Dances with Wolves,3h 1m,"Adventure,Drama,Western"
248. It Happened One Night,1h 45m,"Comedy,Romance"
249. The 400 Blows,1h 39m,"Crime,Drama"
247. The Help,2h 26m,Drama
245. Cool Hand Luke,2h 7m,"Crime,Drama"
244. Rebecca,2h 10m,"Drama,Mystery,Romance"
246. The Iron Giant,1h 26m,"Animation,Action,Adventure"
243. Amores perros,2h 34m,"Drama,Thriller"
242. Groundhog Day,1h 41m,"Comedy,Drama,Fantasy"
241. La battaglia di Algeri,2h 1m,"Drama,War"
240. The Grapes of Wrath,2h 9m,Drama
238. To Be or Not to Be,1h 39m,"Comedy,Romance,War"
237. Ah-ga-ssi,2h 25m,"Drama,Romance,Thriller"
236. My Father and My Son,1h 52m,"Drama,Family"
235. Into the Wild,2h 28m,"Adventure,Biography,Drama"
239. The Sound of Music,2h 52m,"Biography,Drama,Family"
234. Hachi: A Dog's Tale,1h 33m,"Biography,Drama,Family"
233. The Incredibles,1h 55m,"Animation,Action,Adventure"
232. Poor Things,2h 21m,"Comedy,Drama,Romance"
230. Stand by Me,1h 29m,"Adventure,Comedy,Drama"
229. Network,2h 1m,Drama
226. The Exorcist,2h 2m,Horror
228. Pirates of the Caribbean: The Curse of the Black Pearl,2h 23m,"Action,Adventure,Fantasy"
231. The Wizard of Oz,1h 42m,"Adventure,Family,Fantasy"
225. Jai Bhim,2h 44m,"Crime,Drama,Mystery"
224. La haine,1h 38m,"Crime,Drama"
227. Rush,2h 3m,"Action,Biography,Drama"
221. La passion de Jeanne d'Arc,1h 50m,"Biography,Drama,History"
223. The Best Years of Our Lives,2h 50m,"Drama,Romance,War"
219. Platoon,2h,"Drama,War"
222. Before Sunset,1h 20m,"Drama,Romance"
220. The Terminator,1h 47m,"Action,Adventure,Sci-Fi"
218. Hotel Rwanda,2h 1m,"Biography,Drama,History"
217. Spotlight,2h 9m,"Biography,Crime,Drama"
216. Logan,2h 17m,"Action,Drama,Sci-Fi"
214. The Big Lebowski,1h 57m,"Comedy,Crime"
212. Det Sjunde Inseglet,1h 36m,"Drama,Fantasy"
213. Room,1h 58m,"Drama,Thriller"
210. Ratatouille,1h 51m,"Animation,Adventure,Comedy"
209. Ford v. Ferrari,2h 32m,"Action,Biography,Drama"
205. Jaws,2h 4m,"Adventure,Mystery,Thriller"
206. How to Train Your Dragon,1h 38m,"Animation,Action,Adventure"
207. Mary and Max,1h 32m,"Animation,Comedy,Drama"
211. Tokyo Story,2h 16m,Drama
204. Le Salaire De La Peur,2h 11m,"Adventure,Drama,Thriller"
215. Rocky,2h,"Drama,Sport"
208. Mr. Smith Goes to Washington,2h 9m,"Comedy,Drama"
203. Smultronstället,1h 31m,"Drama,Romance"
202. The Third Man,1h 44m,"Film-Noir,Mystery,Thriller"
201. Sherlock Jr.,45m,"Action,Comedy,Romance"
199. Mad Max: Fury Road,2h,"Action,Adventure,Sci-Fi"
"200. Monsters, Inc.",1h 32m,"Animation,Adventure,Comedy"
198. Relatos Salvajes,2h 2m,"Comedy,Drama,Thriller"
197. The Deer Hunter,3h 3m,"Drama,War"
192. In the Name of the Father,2h 13m,"Biography,Crime,Drama"
194. Dead Poets Society,2h 8m,"Comedy,Drama"
193. Salinui Chueok,2h 11m,"Crime,Drama,Mystery"
190. Hacksaw Ridge,2h 19m,"Biography,Drama,History"
189. Gone Girl,2h 29m,"Drama,Mystery,Thriller"
195. On the Waterfront,1h 48m,"Crime,Drama,Thriller"
191. The Gold Rush,1h 35m,"Adventure,Comedy,Drama"
187. Ben-Hur,3h 32m,"Adventure,Drama"
188. Barry Lyndon,3h 5m,"Adventure,Drama,War"
185. Before Sunrise,1h 41m,"Drama,Romance"
183. 12 Years a Slave,2h 14m,"Biography,Drama,History"
186. The Grand Budapest Hotel,1h 39m,"Adventure,Comedy,Crime"
184. Blade Runner,1h 57m,"Action,Drama,Sci-Fi"
182. Bacheha-Ye Aseman,1h 29m,"Drama,Family,Sport"
180. Million Dollar Baby,2h 12m,"Drama,Sport"
178. Gran Torino,1h 56m,Drama
181. Harry Potter and the Deathly Hallows: Part 2,2h 10m,"Adventure,Family,Fantasy"
177. Godzilla Minus One,2h 4m,"Action,Adventure,Drama"
179. My Neighbour Totoro,1h 26m,"Animation,Comedy,Family"
176. Catch Me If You Can,2h 21m,"Biography,Crime,Drama"
173. Fargo,1h 38m,"Crime,Thriller"
175. Warrior,2h 20m,"Action,Drama,Sport"
174. Klaus,1h 36m,"Animation,Adventure,Comedy"
172. Spider-Man: No Way Home,2h 28m,"Action,Adventure,Fantasy"
168. Inside Out,1h 35m,"Animation,Adventure,Comedy"
"169. Three Billboards Outside Ebbing, Missouri",1h 55m,"Comedy,Crime,Drama"
171. The Bridge on the River Kwai,2h 41m,"Adventure,Drama,War"
167. Raging Bull,2h 9m,"Biography,Drama,Sport"
"165. Lock, Stock and Two Smoking Barrels",1h 47m,"Action,Comedy,Crime"
170. Trainspotting,1h 33m,Drama
166. El Secreto De Sus Ojos,2h 9m,"Drama,Mystery,Romance"
163. Gone with the Wind,3h 58m,"Drama,Romance,War"
162. Dial M for Murder,1h 45m,"Crime,Thriller"
161. Chinatown,2h 10m,"Drama,Mystery,Thriller"
159. Prisoners,2h 33m,"Crime,Drama,Mystery"
164. V for Vendetta,2h 12m,"Action,Drama,Sci-Fi"
157. Rashōmon,1h 28m,"Crime,Drama,Mystery"
156. Finding Nemo,1h 40m,"Animation,Adventure,Comedy"
160. The Elephant Man,2h 4m,"Biography,Drama"
155. The Great Escape,2h 52m,"Adventure,Drama,History"
154. Monty Python and the Holy Grail,1h 31m,"Adventure,Comedy,Fantasy"
158. Hauru No Ugoku Shiro,1h 59m,"Animation,Adventure,Family"
152. Kill Bill: Vol. 1,1h 51m,"Action,Crime,Thriller"
153. Yojimbo,1h 50m,"Action,Drama,Thriller"
151. The Treasure of the Sierra Madre,2h 6m,"Adventure,Drama,Western"
149. No Country for Old Men,2h 2m,"Crime,Drama,Thriller"
148. A Beautiful Mind,2h 15m,"Biography,Drama,Mystery"
150. The Thing,1h 49m,"Horror,Mystery,Sci-Fi"
147. Unforgiven,2h 10m,"Drama,Western"
146. El Laberinto Del Fauno,1h 58m,"Drama,Fantasy,War"
145. The Sixth Sense,1h 47m,"Drama,Mystery,Thriller"
144. Jurassic Park,2h 7m,"Action,Adventure,Sci-Fi"
143. Ran,2h 40m,"Action,Drama,War"
141. Shutter Island,2h 18m,"Mystery,Thriller"
142. Casino,2h 58m,"Crime,Drama"
140. There Will Be Blood,2h 38m,Drama
138. All About Eve,2h 18m,Drama
137. Judgment at Nuremberg,2h 59m,"Drama,War"
135. The Father,1h 37m,"Drama,Mystery"
134. Green Book,2h 10m,"Biography,Comedy,Drama"
136. Top Gun: Maverick,2h 10m,"Action,Drama"
139. The Truman Show,1h 43m,"Comedy,Drama"
133. The Kid,1h 8m,"Comedy,Drama,Family"
132. Some Like It Hot,2h 1m,"Comedy,Music,Romance"
130. Batman Begins,2h 20m,"Action,Crime,Drama"
129. Per qualche dollaro in più,2h 12m,"Drama,Western"
128. Dangal,2h 41m,"Action,Biography,Drama"
127. Der Untergang,2h 36m,"Biography,Drama,History"
131. The Wolf of Wall Street,3h,"Biography,Comedy,Crime"
126. Taxi Driver,1h 54m,"Crime,Drama"
125. 1917,1h 59m,"Action,Drama,War"
124. Ladri Di Biciclette,1h 29m,Drama
122. Snatch,1h 44m,"Comedy,Crime"
123. L.A. Confidential,2h 18m,"Crime,Drama,Mystery"
121. Hamilton,2h 40m,"Biography,Drama,History"
119. Metropolis,2h 33m,"Drama,Sci-Fi"
120. Taare Zameen Par,2h 42m,"Drama,Family"
117. Indiana Jones and the Last Crusade,2h 7m,"Action,Adventure"
118. Die Hard,2h 12m,"Action,Thriller"
116. Jodaeiye Nader Az Simin,2h 3m,Drama
115. The Sting,2h 9m,"Comedy,Crime,Drama"
114. To Kill a Mockingbird,2h 9m,"Crime,Drama"
