MovieName,MovieYear,MovieReleaseDate
1. The Shawshank Redemption,1994,"October 14, 1994 (India)"
55. 12th Fail,2023,"October 27, 2023 (India)"
56. Apocalypse Now,1979,"August 15, 1979 (United States)"
59. WALL·E,2008,"August 29, 2008 (India)"
54. City Lights,1931,"March 7, 1931 (United States)"
53. Alien,1979,"December 6, 1979 (India)"
58. Memento,2000,"October 20, 2000 (India)"
57. Django Unchained,2012,"March 22, 2013 (India)"
52. C'era Una Volta Il West,1968,"September 24, 1969 (India)"
51. Rear Window,1954,"September 1, 1954 (United States)"
48. Intouchables,2011,"July 13, 2012 (India)"
49. Cinema Paradiso,1988,"November 17, 1988 (Italy)"
47. Casablanca,1942,"January 23, 1943 (United States)"
46. The Usual Suspects,1995,"May 10, 1996 (India)"
45. Seppuku,1962,"September 16, 1962 (Japan)"
50. Modern Times,1936,"February 25, 1936 (United States)"
250. Dances with Wolves,1990,"November 21, 1990 (United States)"
248. It Happened One Night,1934,"February 22, 1934 (United States)"
245. Cool Hand Luke,1967,"November 1, 1967 (United States)"
249. The 400 Blows,1959,"June 3, 1959 (France)"
244. Rebecca,1940,1940 (India)
246. The Iron Giant,1999,"August 6, 1999 (United States)"
247. The Help,2011,"November 25, 2011 (India)"
243. Amores perros,2000,"June 16, 2000 (Mexico)"
242. Groundhog Day,1993,"February 12, 1993 (United States)"
237. Ah-ga-ssi,2016,"August 25, 2016 (India)"
239. The Sound of Music,1965,"March 22, 2014 (India)"
240. The Grapes of Wrath,1940,"March 15, 1940 (United States)"
241. La battaglia di Algeri,1966,"September 9, 1966 (Italy)"
238. To Be or Not to Be,1942,"March 6, 1942 (United States)"
236. My Father and My Son,2005,"November 18, 2005 (Turkey)"
234. Hachi: A Dog's Tale,2009,"October 4, 2017 (India)"
235. Into the Wild,2007,"July 31, 2018 (India)"
230. Stand by Me,1986,1987 (India)
233. The Incredibles,2004,"November 5, 2004 (United States)"
232. Poor Things,2023,"January 12, 2024 (United Kingdom)"
229. Network,1976,"November 27, 1976 (United States)"
231. The Wizard of Oz,1939,"January 6, 1952 (India)"
227. Rush,2013,"September 20, 2013 (India)"
228. Pirates of the Caribbean: The Curse of the Black Pearl,2003,"August 15, 2003 (India)"
224. La haine,1995,"June 25, 1996 (India)"
222. Before Sunset,2004,"July 30, 2004 (United States)"
226. The Exorcist,1973,"August 27, 1977 (India)"
225. Jai Bhim,2021,"November 2, 2021 (India)"
223. The Best Years of Our Lives,1946,"May 29, 1947 (Mexico)"
221. La passion de Jeanne d'Arc,1928,"October 25, 1928 (France)"
219. Platoon,1986,"February 13, 1989 (India)"
220. The Terminator,1984,"October 26, 1984 (United States)"
216. Logan,2017,"March 3, 2017 (India)"
218. Hotel Rwanda,2004,"February 4, 2005 (United States)"
217. Spotlight,2015,"February 19, 2016 (India)"
214. The Big Lebowski,1998,"December 21, 2019 (India)"
215. Rocky,1976,"December 3, 1976 (United States)"
211. Tokyo Story,1953,"November 3, 1953 (Japan)"
212. Det Sjunde Inseglet,1957,"February 16, 1957 (Sweden)"
208. Mr. Smith Goes to Washington,1939,"October 19, 1939 (United States)"
206. How to Train Your Dragon,2010,"April 16, 2010 (India)"
207. Mary and Max,2009,"April 9, 2009 (Australia)"
209. Ford v. Ferrari,2019,"November 15, 2019 (India)"
210. Ratatouille,2007,"August 24, 2007 (India)"
213. Room,2015,"January 29, 2016 (India)"
204. Le Salaire De La Peur,1953,"September 23, 1955 (India)"
203. Smultronstället,1957,"December 26, 1957 (Sweden)"
202. The Third Man,1949,"September 3, 1949 (Turkey)"
205. Jaws,1975,"December 26, 1975 (India)"
201. Sherlock Jr.,1924,"May 11, 1924 (United States)"
"200. Monsters, Inc.",2001,"June 23, 2002 (India)"
198. Relatos Salvajes,2014,"August 21, 2014 (Argentina)"
199. Mad Max: Fury Road,2015,"May 15, 2015 (India)"
197. The Deer Hunter,1978,"February 23, 1979 (United States)"
196. The General,1926,"January 2, 1927 (United States)"
194. Dead Poets Society,1989,"February 15, 2021 (India)"
193. Salinui Chueok,2003,"May 2, 2003 (South Korea)"
190. Hacksaw Ridge,2016,"December 16, 2016 (India)"
195. On the Waterfront,1954,"October 12, 1954 (India)"
191. The Gold Rush,1925,"July 13, 1925 (Brazil)"
189. Gone Girl,2014,"October 31, 2014 (India)"
188. Barry Lyndon,1975,1977 (India)
192. In the Name of the Father,1993,"December 27, 1993 (Ireland)"
187. Ben-Hur,1959,"November 18, 1959 (Canada)"
183. 12 Years a Slave,2013,"January 31, 2014 (India)"
186. The Grand Budapest Hotel,2014,"July 25, 2014 (India)"
184. Blade Runner,1982,"June 25, 2020 (India)"
185. Before Sunrise,1995,"December 9, 2019 (India)"
181. Harry Potter and the Deathly Hallows: Part 2,2011,"July 15, 2011 (India)"
182. Bacheha-Ye Aseman,1997,1997 (Iran)
178. Gran Torino,2008,"March 13, 2009 (India)"
176. Catch Me If You Can,2002,"April 30, 2020 (India)"
180. Million Dollar Baby,2004,"March 11, 2005 (India)"
179. My Neighbour Totoro,1988,"February 1, 2020 (India)"
175. Warrior,2011,"October 31, 2015 (India)"
173. Fargo,1996,"April 5, 1996 (United States)"
177. Godzilla Minus One,2023,"November 3, 2023 (Japan)"
174. Klaus,2019,"November 16, 2019 (India)"
170. Trainspotting,1996,"February 23, 1996 (United Kingdom)"
"169. Three Billboards Outside Ebbing, Missouri",2017,"February 23, 2018 (India)"
168. Inside Out,2015,"June 26, 2015 (India)"
172. Spider-Man: No Way Home,2021,"December 16, 2021 (India)"
171. The Bridge on the River Kwai,1957,"December 28, 1957 (India)"
167. Raging Bull,1980,"December 19, 1980 (United States)"
163. Gone with the Wind,1939,"July 8, 2020 (India)"
161. Chinatown,1974,"February 9, 2013 (India)"
"165. Lock, Stock and Two Smoking Barrels",1998,"August 28, 1998 (United Kingdom)"
